Column1,latitude,longitude,location
114,34.165247,-84.090566,"Princeton Trace,  Georgia, 30041"
115,34.161026,-84.07451500000001,"Lake Sydney Lanier, Powerhouse Road, Lake Forest,  Georgia, 30041"
116,33.895238,-84.313086,"Keswick Drive, Chamblee,  Georgia, 30341"
117,34.159376,-84.085363,"Summerwood Drive,  Georgia, 30041"
118,34.158441,-84.086142,"Summerwood Drive,  Georgia, 30041"
119,34.159383,-84.086637,"Talmon Court,  Georgia, 30041"
120,34.145338,-84.079251,"Island Ford Road Northeast, Sugar Hill,  Georgia, 30041"
121,33.894994,-84.31290199999999,"Keswick Drive, Chamblee,  Georgia, 30341"
122,34.150784,-84.0776,"Pass Road, Lake Forest,  Georgia, 30518"
123,34.145341,-84.07925299999999,"Island Ford Road Northeast, Sugar Hill,  Georgia, 30041"
124,34.148771,-84.081073,"River Run Court,  Georgia, 30041"
125,34.159248,-84.086634,"Talmon Court,  Georgia, 30041"
126,33.891519,-84.309078,"Malone Drive, Chamblee,  Georgia, 30341"
127,34.159254,-84.086637,"Talmon Court,  Georgia, 30041"
128,33.891252,-84.309983,"Peachtree Industrial Boulevard, Chamblee,  Georgia, 30341"
129,33.891665,-84.310304,"Sexton Woods Drive, Chamblee,  Georgia, 30341"
130,34.145353,-84.079247,"Island Ford Road Northeast, Sugar Hill,  Georgia, 30041"
131,33.894901,-84.312815,"Keswick Drive, Chamblee,  Georgia, 30341"
132,33.895072,-84.31309,"Keswick Drive, Chamblee,  Georgia, 30341"
133,34.145829,-84.079105,"Island Ford Road Northeast, Sugar Hill,  Georgia, 30041"
134,34.147303,-84.078667,"Island Ford Road, Lake Forest,  Georgia, 30041"
135,34.153198,-84.076915,"Powerhouse Road, Lake Forest,  Georgia, 30041"
136,33.895251,-84.313115,"Keswick Drive, Chamblee,  Georgia, 30341"
137,34.152732,-84.077151,"Powerhouse Road, Lake Forest,  Georgia, 30041"
138,33.895049,-84.312831,"Keswick Drive, Chamblee,  Georgia, 30341"
139,34.151304,-84.07787399999999,"Powerhouse Road, Lake Forest,  Georgia, 30041"
140,34.146932,-84.080089,"Island Ford Road Northeast, Sugar Hill,  Georgia, 30041"
141,33.895202,-84.312698,"Keswick Drive, Chamblee,  Georgia, 30341"
142,34.152046,-84.08278,"River Run Court,  Georgia, 30041"
143,34.159108,-84.086495,"Talmon Court,  Georgia, 30041"
144,34.159224,-84.086556,"Talmon Court,  Georgia, 30041"
